Code,Name,Location,Regional_Style,Period,Form,Body_Shape,Soundbox_Chamber_Count,Waist_Presence,Neck_Length,Neck_Width,Body_Neck_Boundary,Head_Angle,Pegbox Presence,Maximum_String_Count,Soundhole_Count,Soundhole_Shape,Obvious_Fret,Obvious_Plectrum,Obvious_Pickguard,Code,Collection,Source_Type_1,Citation_1,Source_Type_2,Citation_2,Source_Type_3,Citation_3,Source_Type_4,Citation_4
KZ-10,Kizil 123 Lute,Kizil,Tarim_Basin,600-700 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,KZ-10,in_situ,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 85",,,,,,
LR-01,Loriyan Tangai Buddha Playing Lute,Loriyan Tangai,Gandhara,100-300 CE,Relief,waterdrop,single,no,short,tapering,smooth,straight,yes,2,2,ring,FALSE,FALSE,FALSE,LR-01,"Indian Museum, Kolkata",online_gallery,https://photodharma.net/Guests/Kawasaki-Buddhas/index.htm,online_gallery,https://photodharma.net/India/Indian-Museum/index.htm,,,,
MG-01,Mogao 12 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,0,n,FALSE,FALSE,TRUE,MG-01,in_situ,catalogue,"Gao, 2008, p. 106",,,,,,
MG-02,Mogao 85 Music Scene Ruan,Mogao Cave,China,848-906 CE,Painting,round,single,no,long,tapering,perpendicular,straight,no,5,0,n,FALSE,TRUE,TRUE,MG-02,in_situ,catalogue,"Gao, 2008, p. 282",,,,,,
MG-03,Mogao 98 Music Scene 1,Mogao Cave,China,907-959 CE,Painting,waterdrop,single,no,short,parallel,smooth,straight,yes,4,0,n,FALSE,TRUE,TRUE,MG-03,in_situ,catalogue,"Gao, 2008, p. 104",,,,,,
MG-04,Mogao 98 Music Scene 2,Mogao Cave,China,907-959 CE,Painting,waterdrop,single,no,short,parallel,smooth,straight,yes,5,0,n,FALSE,TRUE,TRUE,MG-04,in_situ,catalogue,"Gao, 2008, p. 107",,,,,,
MG-05,Mogao 112 Music Scene 1,Mogao Cave,China,781-847 CE,Painting,round,single,no,long,parallel,obtuse,straight,no,n,0,n,FALSE,FALSE,TRUE,MG-05,in_situ,catalogue,"Gao, 2008, p. 76",,,,,,
MG-06,Mogao 112 Music Scene 2,Mogao Cave,China,781-847 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,2,crescent,FALSE,TRUE,TRUE,MG-06,in_situ,catalogue,"Gao, 2008, p. 93",,,,,,
MG-07,Mogao 112 Music Scene 3,Mogao Cave,China,781-847 CE,Painting,round,single,no,long,parallel,obtuse,straight,no,n,0,n,FALSE,FALSE,TRUE,MG-07,in_situ,catalogue,"Gao, 2008, p. 95",,,,,,
MG-08,Mogao 144 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,tapering,smooth,bent_backwards,yes,4,0,n,FALSE,TRUE,TRUE,MG-08,in_situ,catalogue,"Gao, 2008, p. 84",,,,,,
MG-09,Mogao 146 Music Scene,Mogao Cave,China,907-959 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,4,0,n,FALSE,TRUE,TRUE,MG-09,in_situ,catalogue,"Gao, 2008, p. 300",,,,,,
MG-10,Mogao 148 Music Scene,Mogao Cave,China,705–780 CE,Painting,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,TRUE,TRUE,MG-10,in_situ,catalogue,"Gao, 2008, p. 53",,,,,,
MG-11,Mogao 154 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,n,smooth,n,n,4,2,crescent,FALSE,TRUE,TRUE,MG-11,in_situ,catalogue,"Gao, 2008, p. 116",,,,,,
MG-12,Mogao 156 Music Scene,Mogao Cave,China,848-906 CE,Painting,ovoid,single,no,short,parallel,obtuse,straight,yes,4,0,n,FALSE,TRUE,TRUE,MG-12,in_situ,catalogue,"Gao, 2008, p. 77",,,,,,
